x,y
1.030471707975443,2.026536584310637
1.3696857999022662,2.233891226576197
2.022413540633277,3.4902966192671503
2.5151091032180686,3.5945057137583314
2.6996333232398793,3.7061166427529413
3.2382031019453468,4.294473191896145
3.854889303474623,5.207326524314359
4.284165214449852,5.608006694481569
4.7877935684600965,6.151003030361898
5.177853501979484,6.5659924779808225
5.82478190274944,7.75851527814805
6.2883055093323685,7.480796279883602
6.690813596071911,7.871681457154046
7.270618857538909,8.390017981941492
7.6783298815936245,9.247040202445955
8.019333911606413,9.758992295003
8.615822446829302,10.012429331874305
8.956743318864469,10.152533541718933
9.614160819604411,10.847524495877261
9.995007408901374,11.689935615693853
