x,y
0.0,2.115878129103852
0.4166666666666667,1.9786376154725478
0.8333333333333334,2.7461048492718794
1.25,3.792219447401278
1.6666666666666667,4.722089618278505
2.0833333333333335,5.999328108469089
2.5,6.788438714745624
2.916666666666667,6.8664333463150555
3.3333333333333335,7.183715383784753
3.75,7.298391202872653
4.166666666666667,7.619526649019912
4.583333333333334,7.2831858210840466
5.0,6.741195584067558
5.416666666666667,6.732014351393669
5.833333333333334,6.701930445332115
6.25,6.794980558747753
6.666666666666667,7.420725924105027
7.083333333333334,6.797806813167533
7.5,6.800690060261455
7.916666666666667,5.7295981511360825
8.333333333333334,4.296360860624279
8.75,2.270064091119212
9.166666666666668,0.2028416010681311
9.583333333333334,-3.041322563080431
10.0,-6.585665564432619
